Account,Sentiment,Avg_PnL,Total_PnL,Avg_ROI,Win_Rate,Trades
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,428.02384293567246,73192.077142,0.6738713356527962,0.8947368421052632,171
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,21.35744426634921,67275.949439,0.033431749035568496,0.34285714285714286,3150
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,41.00727868495804,63520.274683,0.014018338052343553,0.27953518398967075,1549
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,14.067087569744103,56071.411052999996,0.016383935439098142,0.3361766181635725,3986
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,13.666356243065485,47791.247782,0.007076176566095593,0.4235058621675722,3497
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,181.2940121484375,46411.26711,0.3092580310571879,0.51953125,256
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,178.9813353932039,36870.155091,0.05627585245349638,0.36893203883495146,206
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,43.22290295151516,35658.894935000004,0.02258657500461093,0.576969696969697,825
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,192.49802342236023,30992.181771,-2.1652361017668316,0.45962732919254656,161
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,110.13428011578948,20925.513222,0.04996924732145104,0.5526315789473685,190
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,122.73086336526946,20496.054182,0.003077772789559724,0.3592814371257485,167
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,125.27291186956522,14406.384865,0.0751562071762805,0.4956521739130435,115
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,19.526324419354832,6053.160569999998,0.009645666288293187,0.08387096774193549,310
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,37.21869064814815,4019.61859,0.006764202443147645,0.23148148148148148,108
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,358.63204299999995,1793.1602149999999,0.20158589271906524,0.8,5
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,420.2775286666667,1260.832586,0.032549374896736885,0.3333333333333333,3
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,2.526807436123348,573.585288,0.004405250154506438,0.004405286343612335,227
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,3.048948,15.24474,0.003950079676629485,0.2,5
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,0.14647095000000016,11.717676000000012,0.000853950435066024,0.025,80
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,0.0,0.0,0.0,0.0,223
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Greed,0.0,0.0,0.0,0.0,98
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,-195.26442123469388,-19135.913281,-0.025015172472144475,0.05102040816326531,98
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,-42.62681048042328,-40282.335904,-0.0017627346791043357,0.06666666666666667,945
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,626.1943461839145,1113373.547515,0.05392059683490317,0.5264341957255343,1778
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,49.92139389273941,620872.375844,0.016196303734139033,0.4982712872879312,12437
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,61.388767250292595,367166.216924,0.0017702951107779748,0.3705066042467815,5981
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,212.59435734813755,296781.722858,0.0217229284891077,0.40902578796561606,1396
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,200.50612001439458,236797.727737,0.08243622001695135,0.4987298899237934,1181
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,86.7007065094556,151292.732859,0.09446340468711638,0.2968481375358166,1745
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,335.30010348027844,144514.3446,0.19477367132403672,0.6450116009280742,431
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,1016.8191668265306,99648.278349,0.1827636210216221,0.35714285714285715,98
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,31.003381483194676,93165.161357,0.02051606901371383,0.3271214642262895,3005
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,4.33910526005736,55978.79696,0.002546119332234737,0.37655995659251223,12901
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,37.175405240652616,54685.021109,0.011827343105813128,0.3222297756628144,1471
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,17.540671432304038,51692.358711,0.0015535431740495423,0.5110281642348151,2947
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,29.66603104747596,49364.275663,0.030666533555317628,0.7794471153846154,1664
0x271b280974205ca63b716753467d5a371de622ab,Fear,16.125219748394002,30121.91049,0.004164503160751681,0.3822269807280514,1868
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,31.96198447032967,14542.702934,0.002321372036412791,0.3274725274725275,455
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,9.59437087848463,13422.524859,0.01793974596456394,0.4303073624017155,1399
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,5.565606430722891,12934.469345,0.0025414614445951346,0.31841652323580033,2324
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,10.821952627705627,9999.484228,0.02775109180530468,0.37662337662337664,924
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,6.309012583446404,9299.484548,0.008145554999508682,0.32700135685210313,1474
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,66.09220047967479,8129.3406589999995,0.02790371229465891,0.34959349593495936,123
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,23.692202962025316,5615.052102,0.009306395753709788,0.10126582278481013,237
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,53.88049758227849,4256.559309,0.020733499345272393,0.620253164556962,79
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,7.420132939338235,4036.552319,0.002992191722717243,0.46875,544
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,10.444070267716535,3979.190772,0.010880326587383278,0.4330708661417323,381
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,5.683451412256267,2040.359057,0.005915208746287378,0.2200557103064067,359
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,4.698460545454545,258.41533,0.00305951991463687,0.34545454545454546,55
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,-1.8244488125,-467.058896,0.008088388560446382,0.6796875,256
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,-3.254162617801047,-621.54506,-9.096931300917033e-05,0.0,191
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-0.6326227311212814,-1658.7368009999998,0.0006731880228935613,0.4782608695652174,2622
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,-379.9980389545455,-16719.913714000002,-0.09960712463570683,0.06818181818181818,44
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,-16.54511943252595,-19126.158064,-0.003206665577583132,0.3555363321799308,1156
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,-187.20177575884244,-58219.752261,-0.017602472936867286,0.1607717041800643,311
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,90.68742338767193,534058.23633,0.04057227755534745,0.27322125997622687,5889
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,764.9162195210793,453595.31817600003,0.04236341686381037,0.31703204047217537,593
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,482.08932088327526,276719.270187,0.03067678204010799,0.1602787456445993,574
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,33.16973468792587,243399.51314,0.019937773970655322,0.4647042790951213,7338
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,294.922916753886,227680.491734,0.18060413111167353,0.6373056994818653,772
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,51.450825164405174,163047.664946,0.001306421826595501,0.376459450930893,3169
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,84.9275622784141,96392.783186,0.007398328109634088,0.5955947136563877,1135
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,36.64529953972498,95937.394195,0.024696392817764885,0.807868601986249,2618
